rate	title	country	rating_sum	year
7.4	同命鸳鸯	香港	75.0	1960
6.5	无名小卒	香港	75.0	1979
6.5	云泥	香港	75.0	1968
4.2	对不起，干掉你	香港	75.0	1998
5.4	夺命金剑	香港	75.0	1971
3.3	超索型警	香港	75.0	2005
5.1	机密重案组之致命诱惑	香港	75.0	1994
5.6	风雷魔镜	香港	76.0	1972
4.7	属鸡的女人	香港	76.0	1993
5.4	疯狂青春族	香港	76.0	1993
5.7	无招胜有招	香港	76.0	1979
5.0	武林风云	香港	76.0	1970
7.6	杜十娘怒沉百宝箱	香港	76.0	1956
4.6	烈火情仇	香港	76.0	1992
4.5	怒吼狂花	香港	76.0	1998
6.3	何方神圣	香港	77.0	1981
6.3	家法	香港	77.0	1979
5.9	寒烟翠	香港	77.0	1968
3.1	翻生奇兵	香港	77.0	2011
4.6	我的婆婆黄飞鸿	香港	77.0	2003
4.7	夜挑情	香港	77.0	1993
5.5	老友记茶餐厅	香港	77.0	2001
6.7	投胎人	香港	77.0	1976
5.9	甜蜜十六岁	香港	77.0	1986
7.4	异乡故事	香港	77.0	1987
6.2	那个不多情	香港	77.0	1970
6.8	天堂奇遇	香港	77.0	1970
5.1	拳击小子	香港	77.0	1982
7.9	别让球赛结束	香港	77.0	2012
6.2	良宵花弄月	香港	78.0	1987
7.4	我来也	香港	78.0	1966
5.7	血裸祭	香港	78.0	1989
5.7	血裸祭	香港	78.0	1989
5.5	幪面大侠	香港	78.0	1967
6.4	拍案惊奇	香港	79.0	1975
5.4	香港式的偷情	香港	79.0	1973
7.1	勇闯天下	香港	79.0	1990
6.5	亡命徒	香港	79.0	1972
6.5	女巡按	香港	79.0	1967
6.2	脑魔	香港	79.0	1983
6.6	朱门怨	香港	79.0	1974
5.3	绑架黄七辉	香港	79.0	1993
5.0	死亡网络	香港	79.0	2000
4.4	隔山有眼	香港	79.0	2011
9.0	一磅肉	香港	80.0	1976
7.6	姻缘道上	香港	80.0	1969
5.3	赤裸迷情	香港	80.0	1992
5.5	九月初九新娘潭	香港	80.0	1996
6.0	没有小鸟的天空	香港	80.0	1998
5.7	除夕·前世冤·盟	香港	80.0	1983
5.7	我的爱神	香港	80.0	1986
5.5	霹雳雷电	香港	81.0	1984
6.4	战神滩	香港	81.0	1973
6.0	欲海情魔	香港	81.0	1967
7.1	偷错隔墙花	香港	81.0	1995
6.3	大侠复仇记	香港	81.0	1967
6.7	中英街1號	香港	81.0	2017
6.4	开心鬼精灵	香港	81.0	1986
6.9	红杏劫	香港	81.0	2004
6.3	满天神佛	香港	82.0	1983
4.2	赌尊	香港	82.0	1991
5.9	逃出珊瑚海	香港	82.0	1986
5.5	雾都情仇	香港	82.0	1992
6.1	憨豆豆追女仔	香港	82.0	1998
8.0	弒父	香港	82.0	1977
3.6	黄金恶梦	香港	82.0	1999
6.8	情场如战场	香港	82.0	1957
5.7	仙女下凡	香港	83.0	1972
7.1	尽诉心中情	香港	83.0	1986
8.0	荡妇心	香港	83.0	1949
6.7	痴线特警出更	香港	83.0	1987
5.1	少年卫斯理之天魔之子	香港	83.0	1993
4.6	天使死神	香港	83.0	2003
5.9	毒蛊	香港	83.0	1983
6.6	旧梦不须记	香港	83.0	1978
6.1	纯爱	香港	84.0	1979
5.4	风起云涌之情迷香江	香港	84.0	1994
5.4	旺角的天空3之终极边缘	香港	84.0	2000
6.8	廉政风暴	香港	84.0	1975
6.6	珊珊	香港	84.0	1967
6.4	飞女正传	香港	84.0	1969
6.5	孤岛天堂	香港	84.0	1939
7.3	小学鸡大电影	香港	84.0	2013
5.6	龙虎智多星	香港	84.0	1988
4.7	引郎入室	香港	84.0	1993
5.6	壮士断臂	香港	84.0	1994
5.5	嬉笑怒骂	香港	84.0	1975
5.7	侠骨丹心	香港	84.0	1971
6.0	江湖行	香港	85.0	1973
7.1	春梦	香港	85.0	2013
4.8	佛都有火	香港	85.0	1980
5.5	燕娘	香港	85.0	1969
6.9	应召女郎	香港	85.0	1973
7.5	小说家族之男烧衣	香港	85.0	1987
5.2	童党之街头霸王	香港	85.0	1992
5.9	灵幻小姐	香港	85.0	1988
5.8	初一十五	香港	86.0	1986
6.3	孖宝闯八关	香港	86.0	1980
7.2	哥哥	香港	86.0	2001
7.1	乱世英雄乱世情	香港	86.0	1986
6.5	少年与少妇	香港	86.0	1974
6.3	金牌师姐	香港	87.0	1989
4.9	雇佣兵	香港	87.0	2000
5.8	冒牌大贼	香港	87.0	1986
6.9	铁翼惊情	香港	87.0	2001
5.6	一哥	香港	87.0	1987
4.3	娇娃不设防三度偷情	香港	87.0	1993
7.0	偏偏	香港	87.0	2010
4.5	中港丽人	香港	87.0	1993
5.7	奇兵	香港	87.0	1990
7.3	可怜天下父母心	香港	87.0	1960
7.0	因为来日方长	香港	88.0	2012
6.8	武僧	香港	88.0	1984
6.1	五湖四海	香港	88.0	1992
5.5	广东靓仔玉	香港	88.0	1982
5.8	龙火	香港	89.0	2000
7.2	贰拾蚊	香港	89.0	2011
5.9	捉鼠记	香港	89.0	1974
4.8	街女	香港	89.0	2000
4.9	情不自禁2：霎时冲动	香港	89.0	1992
8.7	三笑姻缘	香港	89.0	1975
4.6	霹雳拳	香港	89.0	1972
6.9	通天临记	香港	90.0	1979
5.6	情义心	香港	90.0	1988
4.7	半边灵	香港	90.0	2006
7.4	路客与刀客	香港	90.0	1970
